"1","'s Gravenhage"
"2","1 Chronicles"
"3","1 Esdras"
"4","1 Kings"
"5","1 Maccabees"
"6","1 Samuel"
"7","11 November"
"8","14 July"
"9","15 August 1945"
"10","15 May Organization"
"11","16 PF"
"12","17 November"
"13","1st Baron Beaverbrook"
"14","1st Baron Verulam"
"15","1st Earl Attlee"
"16","1st Earl Baldwin of Bewdley"
"17","1st Earl of Balfour"
"18","1st Viscount Montgomery of Alamein"
"19","2 Chronicles"
"20","2 Esdras"
"21","2 Kings"
"22","2 Maccabees"
"23","2 Samuel"
"24","3-D"
"25","3D"
"26","3TC"
"27","3rd October Organization"
"28","4WD"
"29","5-hydroxy-3-methylglutaryl-coenzyme A reductase"
"30","6 June 1944"
"31","8 May 1945"
"32","A"
"33","A battery"
"34","A horizon"
"35","A level"
"36","A'man"
"37","A-bomb"
"38","A-horizon"
"39","A-line"
"40","A-list"
"41","A-one"
"42","A-scan ultrasonography"
"43","A-team"
"44","A. A. Michelson"
"45","A. A. Milne"
"46","A. Conan Doyle"
"47","A. E. Burnside"
"48","A. E. Housman"
"49","A. E. Kennelly"
"50","A. E. W. Mason"
"51","A. Noam Chomsky"
"52","A. testudineus"
"53","A.D."
"54","A.E."
"55","A.M."
"56","AA"
"57","AAA"
"58","AARP"
"59","AAS"
"60","AAVE"
"61","AB"
"62","ABA transit number"
"63","ABB"
"64","ABC"
"65","ABC's"
"66","ABCs"
"67","ABLS"
"68","ABM"
"69","ABO antibodies"
"70","ABO blood group system"
"71","ABO group"
"72","ABO system"
"73","ABS"
"74","AC"
"75","ACC"
"76","ACE"
"77","ACE inhibitor"
"78","ACLANT"
"79","ACTH"
"80","AD"
"81","ADA"
"82","ADA-SCID"
"83","ADD"
"84","ADH"
"85","ADHD"
"86","ADP"
"87","ADP system"
"88","ADPS"
"89","AEC"
"90","AFISR"
"91","AFL"
"92","AFL-CIO"
"93","AFP"
"94","AFRL"
"95","AFSPC"
"96","AHPCRC"
"97","AI"
"98","AIAI"
"99","AIDS"
"100","AK"
"101","AL"
"102","ALGOL"
"103","ALIR"
"104","ALS"
"105","ALT"
"106","AM"
"107","AMD"
"108","AMEX"
"109","AMP"
"110","AMusD"
"111","AN"
"112","AND circuit"
"113","AND gate"
"114","ANG"
"115","ANO"
"116","ANOVA"
"117","ANS"
"118","APC"
"119","AR"
"120","ARDA"
"121","ARDS"
"122","ARNG"
"123","AS"
"124","ASALA"
"125","ASAP"
"126","ASAT"
"127","ASCII"
"128","ASCII character"
"129","ASCII character set"
"130","ASCII control character"
"131","ASCII text file"
"132","ASEAN"
"133","ASL"
"134","ATF"
"135","ATM"
"136","ATP"
"137","AU"
"138","AUC"
"139","AWOL"
"140","AZ"
"141","AZT"
"142","Aachen"
"143","Aaland islands"
"144","Aalborg"
"145","Aalst"
"146","Aalto"
"147","Aar"
"148","Aare"
"149","Aare River"
"150","Aarhus"
"151","Aaron"
"152","Aaron Burr"
"153","Aaron Copland"
"154","Aaron Montgomery Ward"
"155","Aaron's rod"
"156","Ab"
"157","Abadan"
"158","Abbe condenser"
"159","Abbott Lawrence Lowell"
"160","Abdias"
"161","Abecedarian"
"162","Abel"
"163","Abel Janszoon Tasman"
"164","Abel Tasman"
"165","Abelard"
"166","Abelian group"
"167","Abelmoschus"
"168","Abelmoschus esculentus"
"169","Abelmoschus moschatus"
"170","Abenaki"
"171","Aberdare"
"172","Aberdeen"
"173","Aberdeen Angus"
"174","Aberdonian"
"175","Abidjan"
"176","Abies"
"177","Abies alba"
"178","Abies amabilis"
"179","Abies balsamea"
"180","Abies bracteata"
"181","Abies concolor"
"182","Abies fraseri"
"183","Abies grandis"
"184","Abies lasiocarpa"
"185","Abies lowiana"
"186","Abies venusta"
"187","Abila"
"188","Abilene"
"189","Abkhas"
"190","Abkhasian"
"191","Abkhaz"
"192","Abkhazia"
"193","Abkhazian"
"194","Abnaki"
"195","Abney level"
"196","Abo"
"197","Abor"
"198","Aboriginal"
"199","Aboriginal Australian"
"200","Aborigine"
"201","Abraham"
"202","Abraham Lincoln"
"203","Abraham Stoker"
"204","Abraham's bosom"
"205","Abramis"
"206","Abramis brama"
"207","Abrocoma"
"208","Abronia"
"209","Abronia elliptica"
"210","Abronia fragrans"
"211","Abronia latifolia"
"212","Abronia maritima"
"213","Abronia umbellata"
"214","Abronia villosa"
"215","Abruzzi"
"216","Abruzzi e Molise"
"217","Abstract Expressionism"
"218","Abu Ali al-Husain ibn Abdallah ibn Sina"
"219","Abu Dhabi"
"220","Abu Hafs al-Masri Brigades"
"221","Abu Nidal Organization"
"222","Abu Sayyaf"
"223","Abudefduf"
"224","Abudefduf saxatilis"
"225","Abuja"
"226","Abukir"
"227","Abukir Bay"
"228","Abul-Walid Mohammed ibn-Ahmad Ibn-Mohammed ibn-Roshd"
"229","Abutilon"
